Category,Value,Timestamp
Category 2,99,2024-06-06
Category 3,29,2024-06-07
Category 4,96,2024-06-08
Category 0,36,2024-06-09
Category 1,44,2024-06-10
Category 2,83,2024-06-11
Category 3,53,2024-06-12
Category 4,11,2024-06-13
Category 0,36,2024-06-14
Category 1,74,2024-06-15
Category 2,38,2024-06-16
Category 3,76,2024-06-17
Category 4,92,2024-06-18
Category 0,18,2024-06-19
Category 1,27,2024-06-20
Category 2,64,2024-06-21
Category 3,81,2024-06-22
Category 4,100,2024-06-23
Category 0,29,2024-06-24
Category 1,18,2024-06-25
Category 2,15,2024-06-26
Category 3,12,2024-06-27
Category 4,36,2024-06-28
Category 0,54,2024-06-29
Category 1,39,2024-06-30
Category 2,19,2024-07-01
Category 3,77,2024-07-02
Category 4,59,2024-07-03
Category 0,21,2024-07-04
Category 1,30,2024-07-05
Category 2,95,2024-07-06
Category 3,82,2024-07-07
Category 4,27,2024-07-08
Category 0,27,2024-07-09
Category 1,46,2024-07-10
Category 2,60,2024-07-11
Category 3,40,2024-07-12
Category 4,19,2024-07-13
Category 0,72,2024-07-14
Category 1,98,2024-07-15
Category 2,40,2024-07-16
Category 3,71,2024-07-17
Category 4,10,2024-07-18
Category 0,50,2024-07-19
Category 1,81,2024-07-20
Category 2,35,2024-07-21
Category 3,84,2024-07-22
Category 4,94,2024-07-23
Category 0,18,2024-07-24
Category 1,63,2024-07-25
Category 2,72,2024-07-26
Category 3,15,2024-07-27
Category 4,59,2024-07-28
Category 0,58,2024-07-29
Category 1,21,2024-07-30
Category 2,19,2024-07-31
Category 3,47,2024-08-01
Category 4,19,2024-08-02
Category 0,22,2024-08-03
Category 1,86,2024-08-04
Category 2,40,2024-08-05
Category 3,36,2024-08-06
Category 4,48,2024-08-07
Category 0,89,2024-08-08
Category 1,85,2024-08-09
Category 2,81,2024-08-10
Category 3,65,2024-08-11
Category 4,21,2024-08-12
Category 0,43,2024-08-13
Category 1,78,2024-08-14
Category 2,75,2024-08-15
Category 3,31,2024-08-16
Category 4,62,2024-08-17
Category 0,64,2024-08-18
Category 1,87,2024-08-19
Category 2,34,2024-08-20
Category 3,85,2024-08-21
Category 4,17,2024-08-22
Category 0,63,2024-08-23
Category 1,72,2024-08-24
Category 2,71,2024-08-25
Category 3,50,2024-08-26
Category 4,49,2024-08-27
Category 0,79,2024-08-28
Category 1,94,2024-08-29
Category 2,37,2024-08-30
Category 3,10,2024-08-31
Category 4,96,2024-09-01
Category 0,10,2024-09-02
Category 1,34,2024-09-03
Category 2,28,2024-09-04
Category 3,44,2024-09-05
Category 4,83,2024-09-06
Category 0,76,2024-09-07
Category 1,39,2024-09-08
Category 2,70,2024-09-09
Category 3,44,2024-09-10
Category 4,22,2024-09-11
Category 0,99,2024-09-12
Category 1,90,2024-09-13
Category 2,16,2024-09-14
Category 3,20,2024-09-15
Category 4,95,2024-09-16
Category 0,17,2024-09-17
Category 1,53,2024-09-18
Category 2,58,2024-09-19
Category 3,11,2024-09-20
Category 4,62,2024-09-21
Category 0,52,2024-09-22
Category 1,59,2024-09-23
Category 2,30,2024-09-24
Category 3,11,2024-09-25
Category 4,97,2024-09-26
Category 0,29,2024-09-27
Category 1,37,2024-09-28
Category 2,87,2024-09-29
Category 3,100,2024-09-30
Category 4,27,2024-10-01
Category 0,67,2024-10-02
Category 1,59,2024-10-03
Category 2,82,2024-10-04
Category 3,19,2024-10-05
Category 4,61,2024-10-06
Category 0,42,2024-10-07
Category 1,36,2024-10-08
Category 2,49,2024-10-09
Category 3,75,2024-10-10
Category 4,33,2024-10-11
Category 0,15,2024-10-12
Category 1,52,2024-10-13
Category 2,36,2024-10-14
Category 3,42,2024-10-15
Category 4,38,2024-10-16
Category 0,33,2024-10-17
Category 1,48,2024-10-18
Category 2,40,2024-10-19
Category 3,92,2024-10-20
Category 4,72,2024-10-21
Category 0,44,2024-10-22
Category 1,77,2024-10-23
Category 2,78,2024-10-24
Category 3,74,2024-10-25
Category 4,27,2024-10-26
Category 0,74,2024-10-27
Category 1,41,2024-10-28
Category 2,55,2024-10-29
Category 3,45,2024-10-30
Category 4,65,2024-10-31
Category 0,92,2024-11-01
Category 1,77,2024-11-02
Category 2,66,2024-11-03
Category 3,83,2024-11-04
Category 4,99,2024-11-05
Category 0,40,2024-11-06
Category 1,25,2024-11-07
Category 2,12,2024-11-08
Category 3,74,2024-11-09
Category 4,75,2024-11-10
Category 0,75,2024-11-11
Category 1,24,2024-11-12
Category 2,38,2024-11-13
Category 3,39,2024-11-14
Category 4,32,2024-11-15
Category 0,38,2024-11-16
Category 1,12,2024-11-17
Category 2,100,2024-11-18
Category 3,89,2024-11-19
Category 4,42,2024-11-20
Category 0,93,2024-11-21
Category 1,47,2024-11-22
Category 2,11,2024-11-23
Category 3,29,2024-11-24
Category 4,67,2024-11-25
Category 0,10,2024-11-26
Category 1,31,2024-11-27
Category 2,41,2024-11-28
Category 3,15,2024-11-29
Category 4,12,2024-11-30
Category 0,53,2024-12-01
Category 1,56,2024-12-02
Category 2,93,2024-12-03
Category 3,14,2024-12-04
Category 4,26,2024-12-05
Category 0,90,2024-12-06
Category 1,52,2024-12-07
Category 2,39,2024-12-08
Category 3,85,2024-12-09
Category 4,45,2024-12-10
Category 0,16,2024-12-11
Category 1,18,2024-12-12
Category 2,62,2024-12-13
Category 3,34,2024-12-14
Category 4,71,2024-12-15
Category 0,32,2024-12-16
Category 1,72,2024-12-17
Category 2,27,2024-12-18
Category 3,13,2024-12-19
Category 4,55,2024-12-20
Category 0,92,2024-12-21
Category 1,50,2024-12-22
Category 2,97,2024-12-23
Category 3,43,2024-12-24
Category 4,62,2024-12-25
Category 0,54,2024-12-26
Category 1,50,2024-12-27
Category 2,29,2024-12-28
Category 3,67,2024-12-29
Category 4,94,2024-12-30
Category 0,86,2024-12-31
Category 1,34,2025-01-01
Category 2,53,2025-01-02
Category 3,63,2025-01-03
Category 4,24,2025-01-04
Category 0,75,2025-01-05
Category 1,33,2025-01-06
Category 2,77,2025-01-07
Category 3,91,2025-01-08
Category 4,10,2025-01-09
Category 0,49,2025-01-10
Category 1,25,2025-01-11
Category 2,36,2025-01-12
Category 3,65,2025-01-13
Category 4,14,2025-01-14
Category 0,66,2025-01-15
Category 1,95,2025-01-16
Category 2,37,2025-01-17
Category 3,96,2025-01-18
Category 4,72,2025-01-19
Category 0,33,2025-01-20
Category 1,30,2025-01-21
Category 2,31,2025-01-22
Category 3,14,2025-01-23
Category 4,60,2025-01-24
Category 0,62,2025-01-25
Category 1,31,2025-01-26
Category 2,43,2025-01-27
Category 3,48,2025-01-28
Category 4,26,2025-01-29
Category 0,56,2025-01-30
Category 1,78,2025-01-31
Category 2,59,2025-02-01
Category 3,47,2025-02-02
Category 4,94,2025-02-03
Category 0,90,2025-02-04
Category 1,97,2025-02-05
Category 2,55,2025-02-06
Category 3,65,2025-02-07
Category 4,74,2025-02-08
Category 0,27,2025-02-09
Category 1,19,2025-02-10
Category 2,17,2025-02-11
Category 3,28,2025-02-12
Category 4,72,2025-02-13
Category 0,77,2025-02-14
Category 1,25,2025-02-15
Category 2,85,2025-02-16
Category 3,19,2025-02-17
Category 4,43,2025-02-18
Category 0,34,2025-02-19
Category 1,48,2025-02-20
Category 2,51,2025-02-21
Category 3,94,2025-02-22
Category 4,55,2025-02-23
Category 0,27,2025-02-24
Category 1,18,2025-02-25
Category 2,42,2025-02-26
Category 3,96,2025-02-27
Category 4,86,2025-02-28
Category 0,45,2025-03-01
Category 1,47,2025-03-02
Category 2,35,2025-03-03
Category 3,43,2025-03-04
Category 4,17,2025-03-05
Category 0,80,2025-03-06
Category 1,14,2025-03-07
Category 2,34,2025-03-08
Category 3,26,2025-03-09
Category 4,67,2025-03-10
Category 0,62,2025-03-11
Category 1,21,2025-03-12
Category 2,78,2025-03-13
Category 3,90,2025-03-14
Category 4,75,2025-03-15
Category 0,59,2025-03-16
Category 1,36,2025-03-17
Category 2,43,2025-03-18
Category 3,51,2025-03-19
Category 4,40,2025-03-20
Category 0,43,2025-03-21
Category 1,72,2025-03-22
Category 2,56,2025-03-23
Category 3,83,2025-03-24
Category 4,76,2025-03-25
Category 0,33,2025-03-26
Category 1,32,2025-03-27
Category 2,37,2025-03-28
Category 3,27,2025-03-29
Category 4,22,2025-03-30
Category 0,79,2025-03-31
Category 1,97,2025-04-01
Category 2,59,2025-04-02
Category 3,80,2025-04-03
Category 4,83,2025-04-04
Category 0,22,2025-04-05
Category 1,24,2025-04-06
Category 2,45,2025-04-07
Category 3,43,2025-04-08
Category 4,29,2025-04-09
Category 0,55,2025-04-10
Category 1,79,2025-04-11
Category 2,68,2025-04-12
Category 3,17,2025-04-13
Category 4,47,2025-04-14
Category 0,85,2025-04-15
Category 1,35,2025-04-16
Category 2,59,2025-04-17
Category 3,49,2025-04-18
Category 4,62,2025-04-19
Category 0,56,2025-04-20
Category 1,48,2025-04-21
Category 2,42,2025-04-22
Category 3,27,2025-04-23
Category 4,72,2025-04-24
Category 0,57,2025-04-25
Category 1,66,2025-04-26
Category 2,80,2025-04-27
Category 3,58,2025-04-28
Category 4,89,2025-04-29
Category 0,50,2025-04-30
Category 1,96,2025-05-01
Category 2,13,2025-05-02
Category 3,38,2025-05-03
Category 4,57,2025-05-04
Category 0,91,2025-05-05
Category 1,22,2025-05-06
Category 2,99,2025-05-07
Category 3,40,2025-05-08
Category 4,30,2025-05-09
Category 0,41,2025-05-10
Category 1,68,2025-05-11
Category 2,58,2025-05-12
Category 3,60,2025-05-13
Category 4,32,2025-05-14
Category 0,13,2025-05-15
Category 1,72,2025-05-16
Category 2,51,2025-05-17
Category 3,17,2025-05-18
Category 4,33,2025-05-19
Category 0,82,2025-05-20
Category 1,81,2025-05-21
Category 2,81,2025-05-22
Category 3,94,2025-05-23
Category 4,45,2025-05-24
Category 0,32,2025-05-25
Category 1,19,2025-05-26
Category 2,96,2025-05-27
Category 3,23,2025-05-28
Category 4,36,2025-05-29
Category 0,38,2025-05-30
Category 1,64,2025-05-31
Category 2,48,2025-06-01
Category 3,43,2025-06-02
Category 4,71,2025-06-03
Category 0,93,2025-06-04
Category 1,29,2025-06-05
Category 2,91,2025-06-06
Category 3,33,2025-06-07
Category 4,82,2025-06-08
Category 0,77,2025-06-09
Category 1,13,2025-06-10
Category 2,25,2025-06-11
Category 3,17,2025-06-12
Category 4,27,2025-06-13
Category 0,36,2025-06-14
Category 1,51,2025-06-15
Category 2,37,2025-06-16
Category 3,42,2025-06-17
Category 4,45,2025-06-18
Category 0,28,2025-06-19
Category 1,89,2025-06-20
Category 2,20,2025-06-21
Category 3,47,2025-06-22
Category 4,88,2025-06-23
Category 0,43,2025-06-24
Category 1,24,2025-06-25
Category 2,67,2025-06-26
Category 3,18,2025-06-27
Category 4,48,2025-06-28
Category 0,30,2025-06-29
Category 1,98,2025-06-30
Category 2,91,2025-07-01
Category 3,66,2025-07-02
Category 4,57,2025-07-03
Category 0,93,2025-07-04
Category 1,90,2025-07-05
Category 2,19,2025-07-06
Category 3,23,2025-07-07
Category 4,15,2025-07-08
Category 0,69,2025-07-09
Category 1,39,2025-07-10
Category 2,92,2025-07-11
Category 3,81,2025-07-12
Category 4,75,2025-07-13
Category 0,19,2025-07-14
Category 1,40,2025-07-15
Category 2,58,2025-07-16
Category 3,40,2025-07-17
Category 4,65,2025-07-18
Category 0,14,2025-07-19
Category 1,10,2025-07-20
Category 2,78,2025-07-21
Category 3,87,2025-07-22
Category 4,71,2025-07-23
Category 0,88,2025-07-24
Category 1,32,2025-07-25
Category 2,10,2025-07-26
Category 3,65,2025-07-27
Category 4,83,2025-07-28
Category 0,59,2025-07-29
Category 1,55,2025-07-30
Category 2,41,2025-07-31
Category 3,43,2025-08-01
Category 4,73,2025-08-02
Category 0,18,2025-08-03
Category 1,62,2025-08-04
Category 2,94,2025-08-05
Category 3,75,2025-08-06
Category 4,60,2025-08-07
Category 0,85,2025-08-08
Category 1,95,2025-08-09
Category 2,85,2025-08-10
Category 3,38,2025-08-11
Category 4,16,2025-08-12
Category 0,56,2025-08-13
Category 1,66,2025-08-14
Category 2,27,2025-08-15
Category 3,53,2025-08-16
Category 4,88,2025-08-17
Category 0,78,2025-08-18
Category 1,24,2025-08-19
Category 2,80,2025-08-20
Category 3,83,2025-08-21
Category 4,10,2025-08-22
Category 0,63,2025-08-23
Category 1,63,2025-08-24
Category 2,67,2025-08-25
Category 3,36,2025-08-26
Category 4,54,2025-08-27
Category 0,41,2025-08-28
Category 1,17,2025-08-29
Category 2,58,2025-08-30
Category 3,65,2025-08-31
Category 4,94,2025-09-01
Category 0,96,2025-09-02
Category 1,48,2025-09-03
Category 2,80,2025-09-04
Category 3,18,2025-09-05
Category 4,89,2025-09-06
Category 0,30,2025-09-07
Category 1,33,2025-09-08
Category 2,97,2025-09-09
Category 3,42,2025-09-10
Category 4,45,2025-09-11
Category 0,65,2025-09-12
Category 1,73,2025-09-13
Category 2,55,2025-09-14
Category 3,39,2025-09-15
Category 4,22,2025-09-16
Category 0,70,2025-09-17
Category 1,18,2025-09-18
Category 2,50,2025-09-19
Category 3,75,2025-09-20
Category 4,78,2025-09-21
Category 0,37,2025-09-22
Category 1,57,2025-09-23
Category 2,49,2025-09-24
Category 3,98,2025-09-25
Category 4,87,2025-09-26
Category 0,57,2025-09-27
Category 1,30,2025-09-28
Category 2,24,2025-09-29
Category 3,20,2025-09-30
Category 4,71,2025-10-01
Category 0,25,2025-10-02
Category 1,69,2025-10-03
Category 2,22,2025-10-04
Category 3,58,2025-10-05
Category 4,59,2025-10-06
Category 0,73,2025-10-07
Category 1,27,2025-10-08
Category 2,70,2025-10-09
Category 3,64,2025-10-10
Category 4,71,2025-10-11
Category 0,96,2025-10-12
Category 1,35,2025-10-13
Category 2,19,2025-10-14
Category 3,72,2025-10-15
Category 4,34,2025-10-16
Category 0,15,2025-10-17
Category 1,56,2025-10-18
Category 2,36,2025-10-19
Category 3,12,2025-10-20
Category 4,47,2025-10-21
Category 0,92,2025-10-22
Category 1,92,2025-10-23
Category 2,56,2025-10-24
Category 3,16,2025-10-25
Category 4,33,2025-10-26
Category 0,42,2025-10-27
Category 1,99,2025-10-28
Category 2,87,2025-10-29
Category 3,27,2025-10-30
Category 4,54,2025-10-31
Category 0,72,2025-11-01
Category 1,38,2025-11-02
Category 2,27,2025-11-03
Category 3,24,2025-11-04
Category 4,66,2025-11-05
Category 0,25,2025-11-06
Category 1,21,2025-11-07
Category 2,29,2025-11-08
Category 3,84,2025-11-09
Category 4,32,2025-11-10
Category 0,71,2025-11-11
Category 1,63,2025-11-12
Category 2,45,2025-11-13
Category 3,56,2025-11-14
Category 4,78,2025-11-15
Category 0,31,2025-11-16
Category 1,18,2025-11-17
Category 2,40,2025-11-18
Category 3,54,2025-11-19
Category 4,91,2025-11-20
Category 0,75,2025-11-21
Category 1,64,2025-11-22
Category 2,23,2025-11-23
Category 3,73,2025-11-24
Category 4,97,2025-11-25
Category 0,67,2025-11-26
Category 1,33,2025-11-27
Category 2,74,2025-11-28
Category 3,59,2025-11-29
Category 4,77,2025-11-30
Category 0,34,2025-12-01
Category 1,70,2025-12-02
Category 2,94,2025-12-03
Category 3,82,2025-12-04
Category 4,34,2025-12-05
Category 0,17,2025-12-06
Category 1,80,2025-12-07
Category 2,93,2025-12-08
Category 3,94,2025-12-09
Category 4,85,2025-12-10
Category 0,58,2025-12-11
Category 1,51,2025-12-12
Category 2,14,2025-12-13
Category 3,18,2025-12-14
Category 4,88,2025-12-15
Category 0,80,2025-12-16
Category 1,25,2025-12-17
Category 2,20,2025-12-18
Category 3,48,2025-12-19
Category 4,33,2025-12-20
Category 0,99,2025-12-21
Category 1,74,2025-12-22
Category 2,26,2025-12-23
Category 3,12,2025-12-24
Category 4,32,2025-12-25
Category 0,87,2025-12-26
Category 1,12,2025-12-27
Category 2,63,2025-12-28
Category 3,26,2025-12-29
Category 4,61,2025-12-30
Category 0,96,2025-12-31
Category 1,75,2026-01-01
Category 2,98,2026-01-02
Category 3,22,2026-01-03
Category 4,51,2026-01-04
Category 0,92,2026-01-05
Category 1,30,2026-01-06
Category 2,40,2026-01-07
Category 3,47,2026-01-08
Category 4,47,2026-01-09
Category 0,26,2026-01-10
Category 1,28,2026-01-11
Category 2,17,2026-01-12
Category 3,10,2026-01-13
Category 4,53,2026-01-14
Category 0,61,2026-01-15
Category 1,46,2026-01-16
Category 2,38,2026-01-17
Category 3,77,2026-01-18
Category 4,46,2026-01-19
Category 0,58,2026-01-20
Category 1,89,2026-01-21
Category 2,30,2026-01-22
Category 3,35,2026-01-23
Category 4,20,2026-01-24
Category 0,72,2026-01-25
Category 1,11,2026-01-26
Category 2,65,2026-01-27
Category 3,90,2026-01-28
Category 4,83,2026-01-29
Category 0,81,2026-01-30
Category 1,45,2026-01-31
Category 2,17,2026-02-01
Category 3,75,2026-02-02
Category 4,91,2026-02-03
Category 0,18,2026-02-04
Category 1,99,2026-02-05
Category 2,60,2026-02-06
Category 3,96,2026-02-07
Category 4,95,2026-02-08
Category 0,74,2026-02-09
Category 1,96,2026-02-10
Category 2,96,2026-02-11
Category 3,52,2026-02-12
Category 4,59,2026-02-13
Category 0,11,2026-02-14
Category 1,32,2026-02-15
Category 2,96,2026-02-16
Category 3,36,2026-02-17
Category 4,100,2026-02-18
Category 0,78,2026-02-19
Category 1,12,2026-02-20
Category 2,39,2026-02-21
Category 3,45,2026-02-22
Category 4,67,2026-02-23
Category 0,51,2026-02-24
Category 1,88,2026-02-25
Category 2,30,2026-02-26
Category 3,20,2026-02-27
Category 4,36,2026-02-28
Category 0,57,2026-03-01
Category 1,48,2026-03-02
Category 2,18,2026-03-03
Category 3,89,2026-03-04
Category 4,57,2026-03-05
Category 0,74,2026-03-06
Category 1,93,2026-03-07
Category 2,36,2026-03-08
Category 3,74,2026-03-09
Category 4,80,2026-03-10
Category 0,71,2026-03-11
Category 1,21,2026-03-12
Category 2,17,2026-03-13
Category 3,64,2026-03-14
Category 4,28,2026-03-15
Category 0,52,2026-03-16
Category 1,68,2026-03-17
Category 2,57,2026-03-18
Category 3,22,2026-03-19
Category 4,33,2026-03-20
Category 0,72,2026-03-21
Category 1,22,2026-03-22
Category 2,13,2026-03-23
Category 3,19,2026-03-24
Category 4,12,2026-03-25
Category 0,55,2026-03-26
Category 1,65,2026-03-27
Category 2,62,2026-03-28
Category 3,46,2026-03-29
Category 4,48,2026-03-30
Category 0,84,2026-03-31
Category 1,42,2026-04-01
Category 2,75,2026-04-02
Category 3,16,2026-04-03
Category 4,29,2026-04-04
Category 0,92,2026-04-05
Category 1,23,2026-04-06
Category 2,47,2026-04-07
Category 3,61,2026-04-08
Category 4,86,2026-04-09
Category 0,39,2026-04-10
Category 1,98,2026-04-11
Category 2,74,2026-04-12
Category 3,92,2026-04-13
Category 4,99,2026-04-14
Category 0,91,2026-04-15
Category 1,36,2026-04-16
Category 2,46,2026-04-17
Category 3,72,2026-04-18
Category 4,32,2026-04-19
Category 0,55,2026-04-20
Category 1,55,2026-04-21
Category 2,10,2026-04-22
Category 3,41,2026-04-23
Category 4,41,2026-04-24
Category 0,35,2026-04-25
Category 1,27,2026-04-26
Category 2,62,2026-04-27
Category 3,63,2026-04-28
Category 4,69,2026-04-29
Category 0,80,2026-04-30
Category 1,26,2026-05-01
Category 2,90,2026-05-02
Category 3,97,2026-05-03
Category 4,43,2026-05-04
Category 0,95,2026-05-05
Category 1,65,2026-05-06
Category 2,30,2026-05-07
Category 3,96,2026-05-08
Category 4,38,2026-05-09
Category 0,41,2026-05-10
Category 1,89,2026-05-11
Category 2,80,2026-05-12
Category 3,36,2026-05-13
Category 4,69,2026-05-14
Category 0,99,2026-05-15
Category 1,15,2026-05-16
Category 2,19,2026-05-17
Category 3,96,2026-05-18
Category 4,27,2026-05-19
Category 0,58,2026-05-20
Category 1,15,2026-05-21
Category 2,91,2026-05-22
Category 3,56,2026-05-23
Category 4,99,2026-05-24
Category 0,89,2026-05-25
Category 1,91,2026-05-26
Category 2,45,2026-05-27
Category 3,73,2026-05-28
Category 4,75,2026-05-29
Category 0,13,2026-05-30
Category 1,37,2026-05-31
Category 2,65,2026-06-01
Category 3,50,2026-06-02
Category 4,23,2026-06-03
Category 0,72,2026-06-04
Category 1,79,2026-06-05
Category 2,77,2026-06-06
Category 3,74,2026-06-07
Category 4,94,2026-06-08
Category 0,15,2026-06-09
Category 1,74,2026-06-10
Category 2,10,2026-06-11
Category 3,47,2026-06-12
Category 4,71,2026-06-13
Category 0,49,2026-06-14
Category 1,67,2026-06-15
Category 2,74,2026-06-16
Category 3,60,2026-06-17
Category 4,76,2026-06-18
Category 0,32,2026-06-19
Category 1,26,2026-06-20
Category 2,34,2026-06-21
Category 3,13,2026-06-22
Category 4,15,2026-06-23
Category 0,43,2026-06-24
Category 1,19,2026-06-25
Category 2,39,2026-06-26
Category 3,86,2026-06-27
Category 4,21,2026-06-28
Category 0,90,2026-06-29
Category 1,56,2026-06-30
Category 2,83,2026-07-01
Category 3,94,2026-07-02
Category 4,56,2026-07-03
Category 0,11,2026-07-04
Category 1,70,2026-07-05
Category 2,29,2026-07-06
Category 3,51,2026-07-07
Category 4,95,2026-07-08
Category 0,81,2026-07-09
Category 1,36,2026-07-10
Category 2,81,2026-07-11
Category 3,38,2026-07-12
Category 4,33,2026-07-13
Category 0,78,2026-07-14
Category 1,90,2026-07-15
Category 2,67,2026-07-16
Category 3,42,2026-07-17
Category 4,26,2026-07-18
Category 0,40,2026-07-19
Category 1,98,2026-07-20
Category 2,100,2026-07-21
Category 3,58,2026-07-22
Category 4,81,2026-07-23
Category 0,42,2026-07-24
Category 1,71,2026-07-25
Category 2,93,2026-07-26
Category 3,73,2026-07-27
Category 4,72,2026-07-28
Category 0,59,2026-07-29
Category 1,43,2026-07-30
Category 2,14,2026-07-31
Category 3,99,2026-08-01
Category 4,15,2026-08-02
Category 0,81,2026-08-03
Category 1,43,2026-08-04
Category 2,12,2026-08-05
Category 3,65,2026-08-06
Category 4,82,2026-08-07
Category 0,19,2026-08-08
Category 1,58,2026-08-09
Category 2,32,2026-08-10
Category 3,63,2026-08-11
Category 4,98,2026-08-12
Category 0,50,2026-08-13
Category 1,20,2026-08-14
Category 2,50,2026-08-15
Category 3,24,2026-08-16
Category 4,96,2026-08-17
Category 0,84,2026-08-18
Category 1,80,2026-08-19
Category 2,95,2026-08-20
Category 3,44,2026-08-21
Category 4,48,2026-08-22
Category 0,73,2026-08-23
Category 1,82,2026-08-24
Category 2,13,2026-08-25
Category 3,70,2026-08-26
Category 4,12,2026-08-27
Category 0,26,2026-08-28
Category 1,31,2026-08-29
Category 2,44,2026-08-30
Category 3,12,2026-08-31
Category 4,23,2026-09-01
Category 0,18,2026-09-02
Category 1,87,2026-09-03
Category 2,29,2026-09-04
Category 3,95,2026-09-05
Category 4,82,2026-09-06
Category 0,21,2026-09-07
Category 1,79,2026-09-08
Category 2,51,2026-09-09
Category 3,78,2026-09-10
Category 4,97,2026-09-11
Category 0,59,2026-09-12
Category 1,40,2026-09-13
Category 2,80,2026-09-14
Category 3,48,2026-09-15
Category 4,25,2026-09-16
Category 0,93,2026-09-17
Category 1,35,2026-09-18
Category 2,62,2026-09-19
Category 3,61,2026-09-20
Category 4,65,2026-09-21
Category 0,77,2026-09-22
Category 1,32,2026-09-23
Category 2,100,2026-09-24
