Category,Value,Timestamp
Category 4,40,2024-09-21
Category 0,32,2024-09-22
Category 1,37,2024-09-23
Category 2,78,2024-09-24
Category 3,54,2024-09-25
Category 4,90,2024-09-26
Category 0,87,2024-09-27
Category 1,25,2024-09-28
Category 2,93,2024-09-29
Category 3,78,2024-09-30
Category 4,82,2024-10-01
Category 0,13,2024-10-02
Category 1,62,2024-10-03
Category 2,11,2024-10-04
Category 3,29,2024-10-05
Category 4,67,2024-10-06
Category 0,60,2024-10-07
Category 1,69,2024-10-08
Category 2,24,2024-10-09
Category 3,50,2024-10-10
Category 4,73,2024-10-11
Category 0,99,2024-10-12
Category 1,89,2024-10-13
Category 2,95,2024-10-14
Category 3,83,2024-10-15
Category 4,79,2024-10-16
Category 0,82,2024-10-17
Category 1,95,2024-10-18
Category 2,41,2024-10-19
Category 3,86,2024-10-20
Category 4,28,2024-10-21
Category 0,60,2024-10-22
Category 1,10,2024-10-23
Category 2,98,2024-10-24
Category 3,87,2024-10-25
Category 4,88,2024-10-26
Category 0,41,2024-10-27
Category 1,79,2024-10-28
Category 2,65,2024-10-29
Category 3,55,2024-10-30
Category 4,92,2024-10-31
Category 0,34,2024-11-01
Category 1,38,2024-11-02
Category 2,67,2024-11-03
Category 3,65,2024-11-04
Category 4,37,2024-11-05
Category 0,51,2024-11-06
Category 1,97,2024-11-07
Category 2,33,2024-11-08
Category 3,12,2024-11-09
Category 4,68,2024-11-10
Category 0,69,2024-11-11
Category 1,10,2024-11-12
Category 2,35,2024-11-13
Category 3,36,2024-11-14
Category 4,77,2024-11-15
Category 0,83,2024-11-16
Category 1,86,2024-11-17
Category 2,15,2024-11-18
Category 3,55,2024-11-19
Category 4,75,2024-11-20
Category 0,76,2024-11-21
Category 1,32,2024-11-22
Category 2,97,2024-11-23
Category 3,37,2024-11-24
Category 4,22,2024-11-25
Category 0,52,2024-11-26
Category 1,36,2024-11-27
Category 2,44,2024-11-28
Category 3,50,2024-11-29
Category 4,12,2024-11-30
Category 0,38,2024-12-01
Category 1,60,2024-12-02
Category 2,91,2024-12-03
Category 3,82,2024-12-04
Category 4,19,2024-12-05
Category 0,97,2024-12-06
Category 1,26,2024-12-07
Category 2,41,2024-12-08
Category 3,58,2024-12-09
Category 4,14,2024-12-10
Category 0,39,2024-12-11
Category 1,42,2024-12-12
Category 2,38,2024-12-13
Category 3,57,2024-12-14
Category 4,60,2024-12-15
Category 0,50,2024-12-16
Category 1,95,2024-12-17
Category 2,90,2024-12-18
Category 3,55,2024-12-19
Category 4,95,2024-12-20
Category 0,90,2024-12-21
Category 1,10,2024-12-22
Category 2,70,2024-12-23
Category 3,38,2024-12-24
Category 4,33,2024-12-25
Category 0,48,2024-12-26
Category 1,26,2024-12-27
Category 2,91,2024-12-28
Category 3,13,2024-12-29
Category 4,78,2024-12-30
Category 0,66,2024-12-31
Category 1,77,2025-01-01
Category 2,63,2025-01-02
Category 3,92,2025-01-03
Category 4,84,2025-01-04
Category 0,27,2025-01-05
Category 1,10,2025-01-06
Category 2,40,2025-01-07
Category 3,84,2025-01-08
Category 4,86,2025-01-09
Category 0,38,2025-01-10
Category 1,66,2025-01-11
Category 2,20,2025-01-12
Category 3,27,2025-01-13
Category 4,49,2025-01-14
Category 0,32,2025-01-15
Category 1,52,2025-01-16
Category 2,20,2025-01-17
Category 3,45,2025-01-18
Category 4,75,2025-01-19
Category 0,90,2025-01-20
Category 1,33,2025-01-21
Category 2,94,2025-01-22
Category 3,49,2025-01-23
Category 4,66,2025-01-24
Category 0,43,2025-01-25
Category 1,91,2025-01-26
Category 2,75,2025-01-27
Category 3,18,2025-01-28
Category 4,37,2025-01-29
Category 0,19,2025-01-30
Category 1,19,2025-01-31
Category 2,68,2025-02-01
Category 3,72,2025-02-02
Category 4,99,2025-02-03
Category 0,82,2025-02-04
Category 1,94,2025-02-05
Category 2,55,2025-02-06
Category 3,76,2025-02-07
Category 4,24,2025-02-08
Category 0,79,2025-02-09
Category 1,68,2025-02-10
Category 2,32,2025-02-11
Category 3,39,2025-02-12
Category 4,57,2025-02-13
Category 0,55,2025-02-14
Category 1,14,2025-02-15
Category 2,65,2025-02-16
Category 3,72,2025-02-17
Category 4,55,2025-02-18
Category 0,20,2025-02-19
Category 1,49,2025-02-20
Category 2,83,2025-02-21
Category 3,66,2025-02-22
Category 4,49,2025-02-23
Category 0,83,2025-02-24
Category 1,75,2025-02-25
Category 2,66,2025-02-26
Category 3,89,2025-02-27
Category 4,62,2025-02-28
Category 0,69,2025-03-01
Category 1,71,2025-03-02
Category 2,60,2025-03-03
Category 3,59,2025-03-04
Category 4,65,2025-03-05
Category 0,14,2025-03-06
Category 1,62,2025-03-07
Category 2,35,2025-03-08
Category 3,74,2025-03-09
Category 4,53,2025-03-10
Category 0,59,2025-03-11
Category 1,12,2025-03-12
Category 2,81,2025-03-13
Category 3,11,2025-03-14
Category 4,86,2025-03-15
Category 0,68,2025-03-16
Category 1,80,2025-03-17
Category 2,27,2025-03-18
Category 3,64,2025-03-19
Category 4,95,2025-03-20
Category 0,62,2025-03-21
Category 1,93,2025-03-22
Category 2,18,2025-03-23
Category 3,13,2025-03-24
Category 4,42,2025-03-25
Category 0,88,2025-03-26
Category 1,64,2025-03-27
Category 2,28,2025-03-28
Category 3,74,2025-03-29
Category 4,53,2025-03-30
Category 0,19,2025-03-31
Category 1,95,2025-04-01
Category 2,30,2025-04-02
Category 3,73,2025-04-03
Category 4,89,2025-04-04
Category 0,100,2025-04-05
Category 1,38,2025-04-06
Category 2,65,2025-04-07
Category 3,29,2025-04-08
Category 4,100,2025-04-09
Category 0,68,2025-04-10
Category 1,13,2025-04-11
Category 2,96,2025-04-12
Category 3,59,2025-04-13
Category 4,95,2025-04-14
Category 0,69,2025-04-15
Category 1,76,2025-04-16
Category 2,77,2025-04-17
Category 3,68,2025-04-18
Category 4,15,2025-04-19
Category 0,29,2025-04-20
Category 1,10,2025-04-21
Category 2,38,2025-04-22
Category 3,77,2025-04-23
Category 4,45,2025-04-24
Category 0,97,2025-04-25
Category 1,33,2025-04-26
Category 2,70,2025-04-27
Category 3,83,2025-04-28
Category 4,90,2025-04-29
Category 0,76,2025-04-30
Category 1,57,2025-05-01
Category 2,91,2025-05-02
Category 3,78,2025-05-03
Category 4,58,2025-05-04
Category 0,59,2025-05-05
Category 1,50,2025-05-06
Category 2,73,2025-05-07
Category 3,84,2025-05-08
Category 4,64,2025-05-09
Category 0,40,2025-05-10
Category 1,89,2025-05-11
Category 2,23,2025-05-12
Category 3,10,2025-05-13
Category 4,19,2025-05-14
